battery_power,ram,price_range
1310,1175,0
1900,3917,1
1625,670,0
1068,1209,0
1438,869,0
1878,2711,1
869,3249,1
1930,1783,1
930,2131,1
1489,776,0
615,2769,1
584,465,0
1237,2454,1
1433,258,0
1980,3865,1
1859,1067,0
1225,3836,1
1263,3372,1
1117,2003,1
1578,2458,1
560,2150,1
569,2811,0
822,3846,1
1372,725,0
1528,1282,0
1392,1280,0
1766,3297,1
966,3534,1
908,3518,1
1190,3610,1
640,2711,1
1897,273,0
805,3397,1
1163,2768,1
1486,297,0
1762,1380,0
715,3709,1
621,2801,1
1906,1871,0
1225,2675,1
1100,757,0
1948,816,0
1151,2377,1
1970,2372,1
1407,1068,0
1510,854,0
1358,3068,1
503,2583,0
1678,278,0
577,814,0
807,1284,0
1045,2137,1
1412,837,0
1559,2203,0
1940,820,0
1702,595,0
1541,1795,0
1110,624,0
1285,2094,0
1976,3699,1
1310,2518,1
1748,2633,1
606,1223,0
1681,2265,1
888,3407,1
1321,1464,0
1607,885,0
1721,707,0
916,1470,0
1234,1449,0
956,3286,1
514,980,0
1589,3970,1
616,3267,1
1936,2552,1
955,1432,0
768,952,0
1108,3254,1
1919,1391,0
1954,700,0
880,3006,1
673,2050,0
580,3451,1
1054,2296,0
994,3104,1
1661,2676,1
635,2973,1
1893,1482,1
1330,1733,0
1827,2844,1
574,1167,0
1413,2867,1
1347,3836,1
546,1550,0
1171,263,0
1146,291,0
1413,3383,1
1715,625,0
1715,514,0
1575,2182,1
1217,1711,0
1522,3767,1
1770,1480,0
1384,1221,0
518,2514,0
1077,3902,1
1484,1457,0
740,1105,0
885,1410,0
890,751,0
1733,3576,1
1341,2200,0
1960,3865,1
1671,815,0
763,2865,1
1843,3213,1
1128,1440,0
783,2016,0
1253,1878,0
1659,3255,1
1472,2677,1
1654,3112,1
767,2445,0
1242,1050,0
1855,3933,1
1611,3078,1
959,3965,1
866,3825,1
1112,3302,1
1204,1724,0
645,2962,1
1589,3464,1
1139,1850,0
1994,1836,1
793,3139,1
962,1491,0
1175,1944,0
517,3704,1
957,1846,0
1991,1733,1
834,1591,0
1878,1334,0
713,485,0
1665,1601,1
816,3851,1
675,2953,1
1039,3212,1
543,2413,0
728,457,0
797,590,0
1203,1672,0
578,2977,1
979,3449,1
916,1659,0
1569,3905,1
623,3510,1
829,820,0
559,2019,0
1117,2895,1
1523,707,0
848,2289,0
1054,1675,0
1300,874,0
1084,1945,0
557,2623,0
710,1419,0
1617,829,0
1450,794,0
858,3978,1
1322,1418,0
1310,3845,1
1147,2627,1
1967,1567,0
1589,2612,1
863,520,0
683,2066,0
911,2933,1
842,2549,0
1604,1464,0
1672,1267,0
808,3431,1
603,3703,1
1510,3484,1
1541,1108,0
1027,3786,1
591,3746,1
1057,3705,1
1911,3872,1
590,1817,0
1426,1277,0
1897,412,0
959,3073,1
1552,2403,1
1564,3742,1
1089,2620,1
1469,1571,1
553,1204,0
1314,626,0
1023,2086,0
1788,2655,1
1156,470,0
814,1944,0
1436,2736,1
1452,2669,1
1814,3556,1
1655,673,0
1067,706,0
904,545,0
1193,2394,1
925,2466,1
574,1303,0
1254,817,0
1053,1339,0
509,513,0
1844,1724,0
977,3714,1
973,2977,1
1156,2735,1
1712,3652,1
1254,606,0
1966,1252,1
942,587,0
1348,2554,1
1742,2610,1
1512,3366,1
1020,3204,1
1250,1882,0
1008,1083,0
1773,3566,1
1303,2574,1
1786,3033,1
981,1539,0
1807,1906,1
525,1891,0
1481,2635,1
1567,2312,1
1686,780,0
539,1326,0
1635,2315,1
1983,2775,1
1703,2993,1
600,3393,1
1517,2738,1
880,827,0
1807,323,0
1067,966,0
771,770,0
1696,523,0
904,1846,0
1162,1404,0
1143,1214,0
1650,324,0
1015,2293,0
936,3761,1
917,3424,1
695,2855,1
1485,3241,1
1794,402,0
730,2812,1
1103,1837,0
618,2399,0
1188,485,0
